Ar-40 + neutron, exciton state: (1,1,0,0)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
          11         1.10007e+22         1.28721e+23         9.21551e+23                   0
          12          1.7907e+22         1.69722e+23         8.27304e+23                   0
          13         2.64677e+22         2.15196e+23         7.65773e+23                   0
          14         3.65987e+22         2.64801e+23         7.24029e+23                   0
          15         4.82117e+22         3.18235e+23         6.95021e+23                   0
          16         6.12202e+22          3.7523e+23         6.74612e+23                   0
          17         7.55422e+22         4.35548e+23         6.60231e+23                   0
          18         9.11008e+22         4.98974e+23         6.50201e+23                   0
          19         1.07825e+23         5.65314e+23          6.4339e+23                   0
          20         1.25648e+23         6.34394e+23         6.39005e+23                   0
          21          1.4451e+23         7.06055e+23          6.3648e+23                   0
          22         1.64355e+23         7.80152e+23         6.35398e+23                   0
          23          1.8513e+23         8.56551e+23         6.35448e+23                   0
          24         2.06786e+23          9.3513e+23         6.36393e+23                   0
          25          2.2928e+23         1.01578e+24         6.38049e+23                   0


Ar-40 + neutron, exciton state: (0,0,2,2)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2                   0                   0                   0                   0
           3                   0                   0                   0                   0
           4                   0                   0                   0                   0
           5          6.6752e+20                   0                   0         6.57014e+25
           6         5.53837e+21         7.88233e+16                   0         5.56867e+24
           7         1.48904e+22         3.42164e+20                   0         2.26365e+24
           8         2.84591e+22         2.75946e+21                   0         1.40679e+24
           9         5.37906e+22         1.17603e+22                   0          8.3259e+23
          10         7.97148e+22          2.4677e+22                   0         6.74488e+23
          11         1.09942e+23         4.25952e+22                   0         5.84279e+23
          12         1.44118e+23         6.53105e+22                   0          5.2832e+23
          13         1.81926e+23         9.25569e+22                   0         4.91679e+23
          14         2.23089e+23         1.24057e+23                   0         4.66839e+23
          15         2.67361e+23         1.59542e+23                   0         4.49654e+23
          16         3.14524e+23         1.98761e+23                   0         4.37665e+23
          17         3.64385e+23         2.41481e+23                   0         4.29333e+23
          18         4.16769e+23          2.8749e+23                   0         4.23649e+23
          19         4.71519e+23         3.36591e+23                   0         4.19928e+23
          20         5.28494e+23         3.88604e+23                   0         4.17689e+23
          21         5.87564e+23         4.43366e+23                   0         4.16586e+23
          22         6.48611e+23         5.00725e+23                   0         4.16364e+23
          23         7.11527e+23         5.60541e+23                   0         4.16832e+23
          24         7.76214e+23         6.22686e+23                   0         4.17845e+23
          25         8.42578e+23         6.87039e+23                   0          4.1929e+23


Ar-40 + neutron, exciton state: (1,1,1,1)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2                   0                   0                   0                   0
           3                   0                   0                   0                   0
           4                   0                   0           1.618e+26         1.01221e+26
           5         6.97753e+18         6.40477e+19         2.00996e+24         1.28678e+24
           6         7.61933e+20         2.13869e+21         6.85633e+23         4.44633e+23
           7         3.75619e+21         8.51069e+21         4.12517e+23         2.69655e+23
           8         9.46692e+21          1.9607e+22         3.09025e+23         2.03074e+23
           9         2.18915e+22         4.25949e+22         2.10211e+23          1.3865e+23
          10         3.58139e+22         6.76454e+22         1.82493e+23         1.20691e+23
          11         5.28899e+22         9.79025e+22         1.65891e+23         1.09932e+23
          12         7.28896e+22         1.32968e+23         1.55418e+23         1.03151e+23
          13         9.55969e+22         1.72476e+23         1.48624e+23         9.87622e+22
          14         1.20815e+23         2.16098e+23         1.44183e+23         9.59044e+22
          15         1.48367e+23         2.63539e+23         1.41318e+23         9.40735e+22
          16         1.78093e+23         3.14536e+23          1.3955e+23         9.29572e+22
          17         2.09849e+23         3.68852e+23         1.38567e+23         9.23524e+22
          18         2.43508e+23         4.26275e+23         1.38158e+23          9.2122e+22
          19          2.7895e+23         4.86614e+23         1.38176e+23         9.21706e+22
          20         3.16072e+23         5.49693e+23         1.38518e+23         9.24297e+22
          21         3.54774e+23         6.15355e+23         1.39107e+23         9.28494e+22
          22          3.9497e+23         6.83455e+23         1.39885e+23         9.33924e+22
          23         4.36577e+23         7.53859e+23          1.4081e+23         9.40304e+22
          24          4.7952e+23         8.26445e+23         1.41847e+23         9.47417e+22
          25         5.23732e+23           9.011e+23         1.42972e+23         9.55093e+22


