Ar-40 + neutron, exciton state: (1,1,0,0)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
           8         4.13961e+22         4.65506e+21                   0         6.89803e+22
           9          6.7706e+22         1.46015e+22                   0         7.84037e+22
          10         9.90378e+22         3.05168e+22                   0         8.72095e+22
          11         1.34842e+23         5.21129e+22                   0         9.54678e+22
          12         1.74664e+23         7.89849e+22                   0         1.03238e+23
          13         2.18128e+23         1.10723e+23                   0          1.1057e+23
          14         2.64909e+23         1.46946e+23                   0         1.17506e+23
          15         3.14711e+23         1.87295e+23                   0         1.23393e+23
          16         3.67037e+23         2.31295e+23                   0         1.27634e+23
          17         4.21128e+23         2.78282e+23                   0         1.30668e+23
          18         4.76186e+23         3.27521e+23                   0         1.32807e+23
          19          5.3149e+23         3.78299e+23                   0         1.34274e+23
          20         5.86437e+23         4.29972e+23                   0         1.35233e+23
          21          6.4055e+23         4.81984e+23                   0         1.35807e+23
          22          6.9347e+23         5.33878e+23                   0         1.36088e+23
          23         7.44945e+23         5.85288e+23                   0         1.36151e+23
          24         7.94811e+23         6.35938e+23                   0         1.36052e+23
          25         8.42987e+23         6.85629e+23                   0         1.35836e+23


Ar-40 + neutron, exciton state: (2,2,0,0)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2                   0                   0                   0                   0
           3                   0                   0                   0                   0
           4                   0                   0                   0                   0
           5                   0         4.11905e+20           9.194e+22                   0
           6                   0         5.48962e+21         1.14361e+23                   0
           7         1.25083e+19         1.60795e+22         1.35882e+23                   0
           8          3.5272e+20         3.18562e+22         1.56556e+23                   0
           9         2.36783e+21         6.17343e+22          1.8486e+23                   0
          10           5.815e+21         9.25801e+22         2.06528e+23                   0
          11         1.10007e+22         1.28721e+23          2.2727e+23                   0
          12          1.7907e+22         1.69722e+23         2.47113e+23                   0
          13         2.64677e+22         2.15196e+23         2.66097e+23                   0
          14         3.65987e+22         2.64801e+23         2.84272e+23                   0
          15         4.82117e+22         3.18235e+23         3.01688e+23                   0
          16         6.12202e+22          3.7523e+23         3.18392e+23                   0
          17         7.55422e+22         4.35548e+23         3.34431e+23                   0
          18         9.11008e+22         4.98974e+23         3.49846e+23                   0
          19         1.07825e+23         5.65314e+23         3.64674e+23                   0
          20         1.25648e+23         6.34394e+23         3.78953e+23                   0
          21          1.4451e+23         7.06055e+23         3.92714e+23                   0
          22         1.64355e+23         7.80152e+23         4.05988e+23                   0
          23          1.8513e+23         8.56551e+23         4.18801e+23                   0
          24         2.06786e+23          9.3513e+23         4.31179e+23                   0
          25          2.2928e+23         1.01578e+24         4.43146e+23                   0


Ar-40 + neutron, exciton state: (0,0,2,2)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2                   0                   0                   0                   0
           3                   0                   0                   0                   0
           4                   0                   0                   0                   0
           5          6.6752e+20                   0                   0         5.39964e+22
           6         5.53837e+21         7.88233e+16                   0         6.91603e+22
           7         1.48904e+22         3.42164e+20                   0         8.37155e+22
           8         2.84591e+22         2.75946e+21                   0         9.76977e+22
           9         5.37906e+22         1.17603e+22                   0         1.16782e+23
          10         7.97148e+22          2.4677e+22                   0         1.31419e+23
          11         1.09942e+23         4.25952e+22                   0         1.45431e+23
          12         1.44118e+23         6.53105e+22                   0         1.58837e+23
          13         1.81926e+23         9.25569e+22                   0         1.71663e+23
          14         2.23089e+23         1.24057e+23                   0         1.83944e+23
          15         2.67361e+23         1.59542e+23                   0         1.95712e+23
          16         3.14524e+23         1.98761e+23                   0         2.07001e+23
          17         3.64385e+23         2.41481e+23                   0          2.1784e+23
          18         4.16769e+23          2.8749e+23                   0         2.28258e+23
          19         4.71519e+23         3.36591e+23                   0         2.38281e+23
          20         5.28494e+23         3.88604e+23                   0         2.47932e+23
          21         5.87564e+23         4.43366e+23                   0         2.57234e+23
          22         6.48611e+23         5.00725e+23                   0         2.66207e+23
          23         7.11527e+23         5.60541e+23                   0         2.74869e+23
          24         7.76214e+23         6.22686e+23                   0         2.83237e+23
          25         8.42578e+23         6.87039e+23                   0         2.91328e+23


Ar-40 + neutron, exciton state: (1,1,1,1)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2                   0                   0                   0                   0
           3                   0                   0                   0                   0
           4                   0                   0                   0                   0
           5         6.97753e+18         6.40477e+19         1.65188e+21         4.52158e+20
           6         7.61933e+20         2.13869e+21         8.51525e+21         4.60823e+21
           7         3.75619e+21         8.51069e+21         1.52559e+22         9.21547e+21
           8         9.46692e+21          1.9607e+22         2.14609e+22         1.35072e+22
           9         2.18915e+22         4.25949e+22         2.94849e+22         1.90314e+22
          10         3.58139e+22         6.76454e+22         3.55574e+22         2.31949e+22
          11         5.28899e+22         9.79025e+22         4.12914e+22         2.71111e+22
          12         7.28896e+22         1.32968e+23         4.67255e+22         3.08108e+22
          13         9.55969e+22         1.72476e+23         5.18902e+22         3.43187e+22
          14         1.20815e+23         2.16098e+23         5.68109e+22         3.76545e+22
          15         1.48367e+23         2.63539e+23          6.1509e+22         4.08345e+22
